SABL_PWSID,COUNTY,COUNTY_FIXED
CA1900801,LOS ANGELES  ,LOS ANGELES
CA1900055,LOS ANGELES  ,LOS ANGELES
CA1910061,LOS ANGELES  ,LOS ANGELES
CA1900936,LOS ANGELES  ,LOS ANGELES
CA1900102,LOS ANGELES  ,LOS ANGELES
CA1900523,LOS ANGELES  ,LOS ANGELES
CA1910081,LOS ANGELES  ,LOS ANGELES
CA1909006,LOS ANGELES  ,LOS ANGELES
CA1900817,LOS ANGELES  ,LOS ANGELES
CA1910127,LOS ANGELES  ,LOS ANGELES
CA1910101,LOS ANGELES  ,LOS ANGELES
CA1900301,LOS ANGELES  ,LOS ANGELES
CA1910244,LOS ANGELES  ,LOS ANGELES
CA1900913,LOS ANGELES  ,LOS ANGELES
CA1910001,LOS ANGELES  ,LOS ANGELES
CA1910140,LOS ANGELES  ,LOS ANGELES
CA1910085,LOS ANGELES  ,LOS ANGELES
CA1910144,LOS ANGELES  ,LOS ANGELES
CA1910139,LOS ANGELES  ,LOS ANGELES
CA1910247,LOS ANGELES  ,LOS ANGELES
CA1910240,LOS ANGELES  ,LOS ANGELES
CA1910005,LOS ANGELES  ,LOS ANGELES
CA1910010,LOS ANGELES  ,LOS ANGELES
CA1910033,LOS ANGELES  ,LOS ANGELES
CA1910036,LOS ANGELES  ,LOS ANGELES
CA1910047,LOS ANGELES  ,LOS ANGELES
CA1910050,LOS ANGELES  ,LOS ANGELES
CA1910070,LOS ANGELES  ,LOS ANGELES
CA1910104,LOS ANGELES  ,LOS ANGELES
CA1910185,LOS ANGELES  ,LOS ANGELES
CA1910242,LOS ANGELES  ,LOS ANGELES
CA1910243,LOS ANGELES  ,LOS ANGELES
CA1910248,LOS ANGELES  ,LOS ANGELES
CA1900693,LOS ANGELES  ,LOS ANGELES
CA1910043,LOS ANGELES  ,LOS ANGELES
CA1910174,LOS ANGELES  ,LOS ANGELES
CA1910152,LOS ANGELES  ,LOS ANGELES
CA1910225,LOS ANGELES  ,LOS ANGELES
CA1910255,LOS ANGELES  ,LOS ANGELES
CA1910042,LOS ANGELES  ,LOS ANGELES
CA1910125,LOS ANGELES  ,LOS ANGELES
CA1910030,LOS ANGELES  ,LOS ANGELES
CA1910077,LOS ANGELES  ,LOS ANGELES
CA1910142,LOS ANGELES  ,LOS ANGELES
CA1910212,LOS ANGELES  ,LOS ANGELES
CA1910223,LOS ANGELES  ,LOS ANGELES
CA1910186,LOS ANGELES  ,LOS ANGELES
CA1910011,LOS ANGELES  ,LOS ANGELES
CA1910250,LOS ANGELES  ,LOS ANGELES
CA1910156,LOS ANGELES  ,LOS ANGELES
CA1910039,LOS ANGELES  ,LOS ANGELES
CA1900563,LOS ANGELES  ,LOS ANGELES
CA1910191,LOS ANGELES  ,LOS ANGELES
CA1910072,LOS ANGELES  ,LOS ANGELES
CA1910195,LOS ANGELES  ,LOS ANGELES
CA1910013,LOS ANGELES  ,LOS ANGELES
CA1910034,LOS ANGELES  ,LOS ANGELES
CA1910204,LOS ANGELES  ,LOS ANGELES
CA1900520,LOS ANGELES  ,LOS ANGELES
CA1910084,LOS ANGELES  ,LOS ANGELES
CA1910102,LOS ANGELES  ,LOS ANGELES
CA1910165,LOS ANGELES  ,LOS ANGELES
CA1900942,LOS ANGELES  ,LOS ANGELES
CA1910126,LOS ANGELES  ,LOS ANGELES
CA1900903,LOS ANGELES  ,LOS ANGELES
CA1900155,LOS ANGELES  ,LOS ANGELES
CA1910002,LOS ANGELES  ,LOS ANGELES
CA1910203,LOS ANGELES  ,LOS ANGELES
CA1910096,LOS ANGELES  ,LOS ANGELES
CA1910017,LOS ANGELES  ,LOS ANGELES
CA1910049,LOS ANGELES  ,LOS ANGELES
CA1900075,LOS ANGELES  ,LOS ANGELES
CA1900541,LOS ANGELES  ,LOS ANGELES
CA1910007,LOS ANGELES  ,LOS ANGELES
CA1910060,LOS ANGELES  ,LOS ANGELES
CA1910051,LOS ANGELES  ,LOS ANGELES
CA1907028,LOS ANGELES  ,LOS ANGELES
CA1900158,LOS ANGELES  ,LOS ANGELES
CA1910130,LOS ANGELES  ,LOS ANGELES
CA1910024,LOS ANGELES  ,LOS ANGELES
CA1910163,LOS ANGELES  ,LOS ANGELES
CA1910179,LOS ANGELES  ,LOS ANGELES
CA1910218,LOS ANGELES  ,LOS ANGELES
CA1910052,LOS ANGELES  ,LOS ANGELES
